,2020-03-31,2019-03-31,2018-03-31,2017-03-31
APOLLO.NS,140112777,291185266,191665200,174534963
APOLLOHOSP.NS,4548000000,2360000000,1174180000,2209900000
APOLLOPIPE.NS,285258000,239310000,220598000,79066471
APOLLOTYRE.NS,NaN,NaN,NaN,NaN
APOLSINHOT.NS,153157000,205605000,152130000,121068000
APTECHT.NS,135061000,182211000,328723000,193039000
ARCHIDPLY.NS,37779215,77230516,25089541,66988755
ARCHIES.NS,-71758000,7261000,-23696000,-36959000
ARCOTECH.NS,-587142000,-921473000,39128000,273125000
ARENTERP.NS,-58183000,5869280,7088700,2225670
ARIES.NS,97424470,98824646,104836475,70608545
ARIHANT.NS,-67400000,-25084775,-26398969,-68853316
ARIHANTSUP.NS,56212000,129806000,125653000,328171000
ARMANFIN.NS,415198000,264314000,72956707,63236437
AROGRANITE.NS,36062000,97209000,11733000,126233000
ARROWGREEN.NS,NaN,NaN,NaN,NaN
ARSHIYA.NS,-4621645000,-2675785000,310411000,-3826453000
ARSSINFRA.NS,90603000,-118168000,-584200000,-3326400000
ARTEMISMED.NS,NaN,NaN,NaN,NaN
ARVIND.NS,956500000,2262300000,3094700000,3146300000
ARVINDFASN.NS,-4008200000,166100000,-172600000,49100000
ARVSMART.NS,393100000,306700000,301750000,202806000
ASAHIINDIA.NS,1537200000,1901800000,1773800000,1495600000
ASAHISONG.NS,NaN,NaN,NaN,NaN
ASAL.NS,-170137000,-126275000,-465608000,-28706000
ASALCBR.NS,493362000,302639000,251892000,169124000
ASHAPURMIN.NS,3876825000,-3310199000,-451639000,-188837000
ASHIANA.NS,-302400000,137800000,382300000,670100000
ASHIMASYN.NS,-33800000,326300000,1264800000,272300000
ASHOKA.NS,1653150000,-334602000,-1111434000,-2052953000
ASHOKLEY.NS,3366700000,20787000000,17603800000,15893554000
ASIANHOTNR.NS,-590844000,-356573000,-37110000,-158535000
ASIANPAINT.NS,27051700000,21559200000,20389300000,19394300000
ASIANTILES.NS,421800000,208703000,526890000,450736000
ASPINWALL.NS,NaN,NaN,NaN,NaN
ASTEC.NS,475111000,357368000,349040000,191177000
ASTERDM.NS,2766100000,3331100000,2688800000,1017600000
ASTRAL.NS,NaN,NaN,NaN,NaN
ASTRAMICRO.NS,NaN,NaN,NaN,NaN
ASTRAZEN.NS,722100000,544500000,259100000,200500000
ASTRON.NS,134199571,276023942,208335000,100219000
ATFL.NS,NaN,NaN,NaN,NaN
ATLANTA.NS,-7983430000,-920182718,-627345657,298841895
ATLASCYCLE.NS,,-458438906,-16177450,31676033
ATUL.NS,6664600000,4322300000,2764800000,3229700000
ATULAUTO.NS,536000000,550500000,478920000,367228000
AUBANK.NS,6747845000,3818068000,2920396000,7618714000
AURIONPRO.NS,319309000,569547000,885589000,450172000
AUROPHARMA.NS,28309700000,23647300000,24231700000,23016600000
AUSOMENT.NS,NaN,NaN,NaN,NaN
AUTOAXLES.NS,NaN,NaN,NaN,NaN
AUTOIND.NS,-658700000,-49484024,-523780232,-712584970
AUTOLITIND.NS,-71439000,3715000,4518000,6027000
AVADHSUGAR.NS,886154000,1198740000,881639000,2033226000
AVANTIFEED.NS,3464868000,2736301000,4464681000,2156593000
AVTNPL.NS,340015000,208438000,242084000,244495000
AXISBANK.NS,NaN,NaN,NaN,NaN
AXISCADES.NS,297541000,-81330000,-82498000,141166000
AYMSYNTEX.NS,174056000,58615000,80005000,405387000
BAGFILMS.NS,-91322959,34095180,-21630063,10769066
BAJAJ-AUTO.NS,52119100000,49276100000,42189500000,40794900000
BAJAJCON.NS,1847739000,2215930000,2110845000,2182421000
BAJAJELEC.NS,-92804000,1563954000,836349000,1021685000
BAJAJFINSV.NS,33691300000,32190400000,26502600000,22619200000
BAJAJHIND.NS,-499900000,-1365600000,-4996400000,-919800000
BAJAJHLDNG.NS,NaN,NaN,NaN,NaN
BAJFINANCE.NS,52637500000,39949900000,24963700000,18363800000
